id,Pregunta1,Pregunta2,Pregunta3,Pregunta4,Pregunta5,Pregunta6,Pregunta7,Pregunta8,Pregunta9,Pregunta10,Pregunta11,Pregunta12,Pregunta13,Pregunta14,Pregunta15,Pregunta16,Pregunta17,Pregunta18,Pregunta19,Pregunta20,Pregunta21,TOTAL
102,2,3,0,2,1,0,0,2,3,2,3,2,3,1,1,2,2,1,3,2,1,36
103,3,3,0,3,1,2,2,2,0,1,2,3,2,2,0,0,0,1,0,1,1,29
104,0,1,3,0,3,0,1,0,1,3,1,2,1,0,2,2,1,3,3,2,2,31
105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,0,1,3,3,0,3,2,2,0,2,2,1,1,3,2,1,0,2,1,0,3,32
107,1,3,2,1,1,1,0,2,1,3,2,3,2,2,3,1,2,3,3,0,2,38
108,1,1,3,1,0,1,0,0,0,3,1,0,0,1,2,0,3,1,2,1,1,22
109,3,0,0,2,1,3,1,3,2,1,2,0,0,3,2,1,2,0,3,2,2,33
110,0,0,3,3,3,2,0,3,2,1,0,1,1,1,2,0,3,3,2,1,3,34
111,2,3,3,2,0,2,3,3,0,3,3,2,3,2,2,2,3,1,2,2,3,46
112,3,1,3,1,3,3,2,2,3,3,0,2,3,2,0,0,0,3,0,1,1,36
113,2,2,2,0,1,3,0,3,2,1,2,0,2,2,1,0,3,3,1,1,0,31
114,2,3,2,3,2,3,0,2,1,3,1,3,2,0,1,2,1,2,1,2,0,36
115,3,2,3,3,1,0,2,1,0,1,3,3,3,2,2,3,2,0,0,3,2,39
116,2,2,1,2,3,1,1,0,2,1,3,1,2,2,2,3,3,3,2,2,2,40
117,0,3,0,3,3,2,2,2,0,2,1,2,1,3,3,0,1,2,0,2,0,32
118,2,3,2,3,2,0,1,3,2,0,0,2,3,2,0,1,1,3,3,1,2,36
119,2,3,3,3,2,3,0,2,0,1,2,2,3,0,3,2,0,3,1,1,3,39
120,0,0,2,3,2,3,0,1,0,0,0,0,3,1,2,0,3,3,3,1,3,30
121,1,1,1,2,3,1,2,2,0,3,1,0,3,3,1,3,0,1,0,0,3,31
122,3,2,1,2,0,2,1,1,1,1,3,1,0,1,1,2,2,2,0,3,3,32
123,3,3,0,2,2,0,3,0,3,2,3,3,2,1,1,2,1,3,2,2,1,39
124,3,3,0,1,3,0,2,1,2,3,1,1,2,0,2,3,0,0,3,2,0,32
125,3,3,3,3,0,0,0,3,0,0,3,2,3,0,0,1,1,3,3,3,2,36
126,1,3,3,2,1,0,3,3,0,2,2,1,2,1,0,3,3,1,2,2,3,38
127,3,3,3,0,3,2,0,3,1,2,2,3,3,0,2,3,2,0,0,0,0,35
128,0,0,2,1,3,2,0,3,2,1,1,2,0,1,0,2,0,2,3,2,2,29
129,3,1,3,0,2,1,2,0,2,2,3,0,2,2,3,3,2,1,0,0,1,33
130,2,3,3,2,2,0,3,1,1,0,1,2,2,3,3,3,1,0,1,3,0,36
131,3,3,1,1,1,1,3,3,0,0,1,1,2,2,3,3,2,3,3,0,1,37
132,3,0,0,1,3,3,1,2,3,0,2,0,3,2,2,1,2,0,2,2,0,32
133,2,3,3,0,0,1,1,1,2,3,3,2,3,1,2,0,2,3,0,1,3,36
134,3,3,2,3,3,0,1,3,0,3,1,1,3,3,2,1,1,1,2,3,1,40
135,2,3,3,3,1,0,3,0,2,2,1,1,0,0,0,1,0,3,1,2,0,28
136,3,3,0,2,1,3,1,2,3,0,1,3,0,0,1,2,0,1,2,3,1,32
137,3,3,2,1,1,2,3,3,2,1,2,0,1,1,0,1,1,0,1,1,2,31
138,2,3,1,3,2,0,0,0,3,0,2,2,1,1,0,3,2,1,2,0,3,31
139,2,0,1,0,2,1,2,0,1,1,0,2,1,3,0,3,3,3,2,0,2,29
140,2,1,0,0,1,0,3,2,0,3,2,2,2,3,1,3,0,0,2,2,0,29
141,1,3,2,2,3,2,1,0,0,3,3,2,3,1,0,0,3,2,0,2,0,33
142,1,0,1,2,1,0,3,2,3,2,0,3,0,2,0,1,3,3,3,0,0,30
143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,4
144,0,1,0,1,3,1,1,2,2,2,1,2,0,3,3,0,1,2,1,2,1,29
145,3,1,1,3,0,3,1,2,3,3,2,0,3,3,2,3,0,3,3,1,3,43
146,1,3,2,2,0,3,2,2,2,3,0,2,1,0,1,3,0,1,2,2,2,34
147,0,1,1,1,2,3,1,1,0,2,2,3,2,3,1,3,0,0,0,0,3,29
148,0,0,3,0,1,0,3,3,3,2,0,1,3,0,0,3,0,1,2,1,2,28
149,2,1,1,1,0,1,1,2,3,1,0,0,2,0,3,3,3,3,3,0,2,32
150,2,0,1,3,2,1,1,1,1,2,0,1,2,0,1,3,2,1,3,2,2,31
151,0,2,0,1,1,3,2,2,1,3,1,0,0,2,3,3,0,3,2,2,1,32
152,3,2,2,3,2,2,1,2,2,3,3,1,2,3,0,1,0,1,1,1,1,36
153,1,2,0,1,1,2,0,1,3,1,3,0,0,0,0,2,3,2,3,0,2,27
154,3,2,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
155,0,3,0,0,3,1,2,1,0,2,3,0,1,3,0,3,1,0,1,2,2,28
156,2,3,2,1,0,3,0,3,1,0,1,2,1,1,2,0,0,2,0,2,1,27
157,3,2,3,2,3,0,1,0,3,2,0,3,2,3,0,1,2,1,0,2,0,33
158,3,3,0,3,1,2,0,1,1,2,3,3,1,3,1,2,3,0,2,0,1,35
159,2,2,3,2,3,0,2,3,1,2,0,2,2,2,0,1,1,2,0,1,3,34
160,2,2,1,2,3,3,0,3,3,3,0,1,2,3,1,0,2,3,1,0,0,35
161,0,3,2,0,0,2,1,3,1,2,0,3,3,3,3,0,0,2,0,0,0,28
162,3,3,1,3,0,3,2,3,2,3,1,2,2,0,1,3,3,3,0,3,3,44
163,1,2,3,0,2,2,2,3,2,3,0,1,3,0,2,2,1,1,3,2,0,35
164,2,2,3,3,1,3,1,2,0,1,1,0,2,1,2,0,3,0,1,0,3,31
165,0,3,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,12
166,0,1,3,1,0,0,2,0,3,0,0,2,0,0,3,0,0,0,0,1,0,16
167,1,0,3,0,1,3,2,3,3,0,3,3,1,1,3,2,1,0,2,2,3,37
168,0,3,3,3,1,1,2,1,3,1,2,1,3,1,1,3,0,2,3,1,2,37
169,2,2,2,2,0,3,2,0,1,1,1,0,1,2,1,3,2,0,1,0,3,29
170,2,3,0,3,0,1,3,1,0,1,3,0,0,3,1,0,0,3,3,3,3,33
171,3,1,2,1,2,2,3,2,1,3,2,2,1,1,0,3,0,0,0,0,2,31
172,2,1,2,1,2,2,2,0,1,1,1,3,3,0,0,2,2,3,0,1,3,32
173,0,1,1,2,0,0,1,2,2,1,2,0,2,2,2,1,3,2,3,1,3,31
174,1,2,0,0,3,2,2,3,2,3,1,0,0,1,1,0,2,2,2,2,2,31
175,1,2,0,2,0,2,3,3,2,3,1,0,2,0,0,2,1,0,2,3,2,31
176,0,1,3,1,1,3,0,2,1,3,3,2,2,3,1,2,3,3,1,0,1,36
177,2,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17
178,2,2,0,3,1,0,3,2,0,1,0,1,3,1,2,0,2,1,3,3,3,33
179,3,3,0,0,1,3,2,3,2,3,2,2,3,0,3,0,2,2,1,1,1,37
180,3,0,1,0,2,2,0,0,3,2,2,0,3,3,1,0,2,2,3,1,1,31
181,0,0,3,2,2,1,1,3,3,0,0,3,2,1,0,1,1,1,2,2,1,29
182,2,2,3,0,1,1,1,2,1,3,2,1,2,1,2,1,0,1,0,1,1,28
183,3,1,0,0,3,1,0,0,0,3,2,1,3,1,2,0,0,0,0,1,3,24
184,2,1,1,0,1,1,3,0,0,2,1,3,0,1,3,1,1,1,0,3,3,28
185,3,0,3,1,0,1,1,1,3,1,1,0,1,3,2,0,2,2,1,2,0,28
186,0,3,0,0,0,1,3,1,3,3,1,1,3,3,1,0,0,2,3,3,3,34
187,1,1,0,2,0,2,1,1,3,3,0,0,0,3,2,3,0,2,3,0,2,29
188,2,1,0,0,2,1,1,1,0,1,3,3,0,0,0,1,3,2,2,1,1,25
189,0,0,2,0,0,3,1,3,0,3,2,3,2,3,3,3,0,2,1,3,2,36
190,3,0,1,0,0,1,0,0,0,2,3,2,3,3,3,1,1,0,1,1,2,27
191,0,1,3,1,1,3,2,2,0,2,2,2,2,2,1,0,2,2,2,2,3,35
192,0,2,1,3,0,0,3,0,2,2,2,0,0,1,3,0,3,0,0,1,0,23
193,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
194,2,0,0,2,2,3,2,1,1,2,2,2,1,0,1,2,2,3,3,3,2,36
195,2,1,1,1,0,0,1,3,1,3,3,1,1,3,3,2,1,0,3,2,1,33
196,3,3,2,3,3,3,1,0,3,2,2,2,3,0,2,0,0,2,1,1,2,38
197,3,2,3,2,1,3,1,2,2,2,0,2,3,1,3,1,0,1,0,0,1,33
198,1,3,3,3,0,2,3,1,2,0,2,3,2,0,2,0,2,1,0,1,3,34
199,0,3,2,2,3,1,3,0,2,0,1,1,1,1,3,2,2,3,3,3,1,37
200,3,0,1,0,1,0,1,3,2,0,1,3,3,2,2,3,0,0,0,3,1,29
201,1,1,1,0,3,2,2,1,2,2,0,2,3,1,2,2,1,1,2,0,1,30
202,3,2,3,3,2,2,3,2,2,2,1,3,0,2,2,3,2,1,0,0,3,41
203,1,0,2,1,2,1,0,3,2,2,3,1,1,0,2,1,0,1,3,3,1,30
204,0,0,1,0,3,1,1,3,1,2,3,2,2,3,2,3,2,2,2,2,2,37
205,1,1,3,2,3,2,2,1,1,0,0,2,1,3,2,3,2,1,0,1,2,33
206,2,0,3,0,1,3,2,0,2,0,1,1,1,1,1,3,0,0,0,1,3,25
207,1,0,3,0,2,3,2,3,1,1,1,0,2,3,0,1,2,0,2,2,1,30
208,3,3,2,3,0,1,3,1,1,2,3,2,2,1,3,3,2,0,3,2,1,41
209,1,1,0,1,0,1,2,2,1,3,2,2,3,0,3,0,1,0,0,1,1,25
210,1,1,0,3,0,0,3,2,2,3,0,1,0,0,0,2,0,1,3,1,0,23
211,3,2,2,0,3,0,1,2,0,2,0,0,2,1,1,1,3,1,2,3,2,31
212,3,1,1,3,2,3,0,3,0,0,0,0,0,3,0,1,3,0,0,3,1,27
213,3,3,2,2,3,1,2,3,1,0,0,1,3,2,1,3,2,3,1,3,2,41
214,2,2,0,1,2,0,2,0,0,3,2,1,1,1,2,2,3,0,0,2,2,28
215,1,2,1,2,0,0,1,0,3,0,2,2,2,3,1,1,2,2,0,1,3,29
216,1,3,0,0,1,0,1,2,2,1,1,1,3,1,1,2,3,3,3,0,1,30
217,3,0,2,3,2,2,1,2,1,3,2,1,3,3,0,2,1,3,0,0,3,37
218,2,0,1,2,1,0,0,1,1,0,3,1,1,1,0,3,0,2,0,1,3,23
219,0,2,0,2,0,2,1,1,1,3,1,1,3,2,1,0,3,1,2,0,1,27
220,1,0,2,3,0,3,3,2,0,3,2,1,2,2,0,2,0,1,3,3,1,34
221,3,3,2,3,2,3,0,0,1,1,3,1,2,0,0,3,3,1,3,3,1,38
222,1,2,0,2,2,0,2,3,1,2,0,3,3,2,3,3,3,3,2,0,1,38
223,1,3,2,3,3,1,1,3,3,3,3,0,2,1,0,1,2,3,0,2,1,38
224,1,0,1,3,0,1,1,3,2,1,3,3,1,3,3,3,2,3,3,3,1,41
225,1,0,0,3,1,1,1,2,2,0,3,0,3,2,1,1,1,1,1,0,3,27
226,0,3,0,2,0,2,0,3,1,0,3,0,2,2,2,2,0,3,1,1,1,28
227,3,1,0,2,1,3,3,2,3,3,1,3,3,0,3,0,2,0,0,1,2,36
228,2,2,2,2,0,2,3,1,3,3,1,1,1,3,0,1,1,2,0,2,0,32
229,0,0,2,0,1,2,3,0,3,3,3,1,0,3,3,1,2,2,2,3,3,37
230,3,1,0,0,0,2,1,0,0,2,2,0,0,1,3,2,0,3,2,1,2,25
231,1,3,0,3,3,0,0,0,1,3,3,2,1,1,3,2,0,3,3,0,1,33
232,2,0,1,1,0,0,0,2,2,0,1,3,2,1,3,1,1,1,0,3,2,26
233,3,0,3,0,1,0,2,1,0,2,0,1,1,1,1,2,2,0,2,2,2,26
234,3,2,2,2,0,2,2,1,2,3,2,2,2,0,1,2,1,0,2,0,1,32
235,1,2,3,0,3,0,1,0,2,3,3,0,2,0,3,0,2,2,0,2,3,32
236,0,0,2,1,2,2,0,1,3,1,0,3,0,3,1,0,2,1,2,2,2,28
237,2,3,2,1,1,3,2,3,1,3,3,3,0,0,0,1,3,0,0,1,3,35
238,0,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8
239,2,3,1,1,3,2,3,1,0,3,2,1,0,0,1,1,3,3,0,1,0,31
240,3,3,3,0,3,1,0,3,3,2,3,3,0,3,1,1,1,2,0,0,0,35
241,2,3,2,1,0,0,0,2,0,1,1,2,3,1,2,3,0,1,0,2,2,28
242,1,2,0,1,0,1,0,3,2,0,1,2,2,1,0,0,1,3,2,3,1,26
243,2,0,0,3,0,0,0,2,1,0,0,0,2,3,2,3,1,3,1,2,2,27
244,2,0,2,2,3,3,2,0,2,1,2,2,3,2,1,1,1,0,0,1,3,33
245,0,0,1,0,0,2,0,0,0,2,2,0,2,0,2,0,0,0,1,1,1,14
246,3,3,2,1,1,2,0,2,0,2,0,3,2,1,0,0,3,1,1,2,3,32
247,1,0,3,0,1,0,1,0,3,1,1,3,2,3,2,0,2,2,2,3,2,32
248,2,0,0,3,2,0,3,1,2,2,3,1,1,1,1,3,3,0,3,0,3,34
249,0,3,2,3,0,3,1,0,2,1,1,2,3,1,1,1,2,3,1,1,3,34
250,0,3,1,2,1,0,3,0,2,3,3,2,0,0,3,0,1,1,2,3,1,31
251,3,0,3,0,3,2,2,3,3,2,2,1,3,1,0,2,0,3,0,0,2,35
252,3,1,1,3,2,0,1,2,3,3,2,3,0,1,3,3,0,0,2,3,0,36
253,3,3,1,2,3,3,1,2,0,3,0,0,2,2,3,1,1,0,3,3,0,36
254,1,0,0,2,1,2,2,0,1,1,2,1,0,3,3,3,3,0,2,1,0,28
255,3,1,0,1,2,0,1,1,2,1,2,0,2,1,1,2,3,3,1,2,2,31
256,0,1,0,0,2,2,1,1,3,3,3,1,3,1,1,2,3,1,1,1,2,32
257,1,3,1,0,1,1,1,2,3,1,0,1,3,1,3,3,0,3,3,1,2,34
258,2,3,3,0,2,3,2,0,0,2,0,1,1,1,3,1,2,0,1,3,2,32
259,0,2,1,2,1,2,0,1,0,1,0,1,2,0,2,1,3,1,0,2,0,22
260,1,3,2,1,2,0,1,2,3,3,0,1,3,3,0,0,3,2,2,2,1,35
261,1,1,2,2,3,1,2,0,0,3,3,1,0,0,3,0,0,2,0,3,1,28
262,1,2,2,0,1,1,1,0,1,3,2,0,3,3,1,3,2,1,3,0,3,33
263,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,9
264,2,2,2,1,2,1,2,2,0,3,3,1,0,2,1,3,3,2,1,2,3,38
265,1,2,3,2,2,3,2,2,0,1,3,0,3,3,1,3,1,1,2,0,0,35
266,0,3,2,3,2,0,1,0,2,2,0,0,0,3,2,3,0,3,0,1,0,27
267,1,1,0,3,2,2,2,1,0,2,0,1,1,1,3,0,2,1,3,2,1,29
268,1,2,0,0,0,1,0,0,2,3,2,2,3,1,0,2,2,2,1,1,3,28
269,2,0,3,0,3,2,2,2,0,0,3,0,2,0,3,1,2,0,1,2,0,28
270,0,1,1,2,2,2,1,1,1,3,2,2,1,0,1,2,3,3,0,2,2,32
271,1,0,3,3,1,3,0,3,0,3,1,2,0,2,3,1,0,3,2,2,3,36
272,3,3,3,2,3,3,1,0,3,0,2,0,3,0,1,2,3,1,0,1,1,35
273,1,1,1,0,1,0,3,1,0,0,0,0,2,2,3,3,3,2,3,1,0,27
274,3,2,3,3,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
275,1,2,2,3,2,3,0,2,3,3,3,2,2,0,3,0,2,3,0,0,3,39
276,0,2,0,0,2,2,1,2,2,3,3,3,0,2,0,0,1,1,1,2,1,28
277,2,0,1,1,2,1,2,0,2,0,1,1,1,0,1,3,3,3,2,0,2,28
278,1,3,2,0,1,2,1,2,3,0,1,3,0,1,1,2,2,3,0,1,1,30
279,3,0,2,3,0,0,1,2,0,2,3,2,0,1,0,1,1,1,0,0,1,23
280,3,3,0,0,0,2,3,2,3,0,1,1,2,0,0,2,1,0,2,0,1,26
281,2,3,2,0,0,3,1,2,2,1,1,3,0,2,0,0,2,3,3,2,1,33
282,1,2,3,0,2,1,1,3,2,0,1,3,1,1,1,2,1,1,3,3,0,32
283,3,2,0,2,0,0,0,2,3,1,2,3,1,1,1,0,2,0,1,1,0,25
284,3,1,0,1,0,0,0,0,2,1,3,3,3,3,0,3,3,3,1,3,3,36
285,0,2,2,0,2,2,0,2,2,2,2,1,2,3,1,1,2,2,0,2,3,33
286,3,1,3,2,1,3,2,0,1,0,3,2,3,2,2,1,2,0,2,0,2,35
287,0,1,1,2,2,1,1,0,3,1,1,3,2,2,3,1,0,1,2,2,3,32
288,0,1,3,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290,1,0,1,1,2,3,1,3,0,1,0,2,0,1,3,3,2,2,2,1,0,29
291,3,1,1,2,3,2,1,0,3,3,2,2,3,1,0,3,0,1,0,2,2,35
292,0,0,1,2,0,0,2,2,3,1,2,2,3,1,1,0,0,2,0,1,3,26
293,0,0,2,1,3,0,2,2,2,1,3,2,3,0,1,1,3,2,3,1,2,34
294,3,1,0,1,0,3,3,1,3,3,0,2,1,2,0,0,0,3,1,0,0,27
295,1,2,0,1,1,1,0,3,2,1,0,3,1,2,3,2,2,3,1,2,2,33
296,3,0,0,2,0,0,2,0,1,0,0,2,1,0,3,1,3,0,1,3,3,25
297,0,2,1,1,2,1,1,0,1,0,3,1,0,2,2,0,0,3,3,2,2,27
